rank,company,revenues,revenue_percent_change,profits,profits_percent_change,assets,market_value,change_in_rank_1000,employees,change_in_rank_500,link
1,Walmart,"$680,985",5.10%,"$19,436",25.30%,"$260,823","$703,799.2",-,"2,100,000",-,View More details about Walmart
2,Amazon,"$637,959",11%,"$59,248",94.70%,"$624,894","$2,016,324",-,"1,556,000",-,View More details about Amazon
3,UnitedHealth Group,"$400,278",7.70%,"$14,405",-35.60%,"$298,278","$479,080.6",1,"400,000",1,View More details about UnitedHealth Group
4,Apple,"$391,035",2%,"$93,736",-3.40%,"$364,980","$3,336,853.1",-1,"164,000",-1,View More details about Apple
5,CVS Health,"$372,809",4.20%,"$4,614",-44.70%,"$253,215","$85,418.9",1,"259,500",1,View More details about CVS Health
6,Berkshire Hathaway,"$371,433",1.90%,"$88,995",-7.50%,"$1,153,881","$1,148,720.3",-1,"392,400",-1,View More details about Berkshire Hathaway
7,Alphabet,"$350,018",13.90%,"$100,118",35.70%,"$450,256","$1,894,485.5",1,"183,323",1,View More details about Alphabet
8,ExxonMobil Holdings,"$349,585",1.50%,"$33,680",-6.50%,"$453,475","$516,054.3",-1,"60,900",-1,View More details about ExxonMobil Holdings
9,McKesson,"$308,951",11.70%,"$3,002",-15.70%,"$67,443","$84,343.4",-,"48,000",-,View More details about McKesson
10,Cencora,"$293,958.6",12.10%,"$1,509.1",-13.50%,"$67,101.7","$53,869.5",-,"44,000",-,View More details about Cencora
11,JPMorgan Chase,"$278,906",16.50%,"$58,471",18%,"$4,002,814","$685,884.8",1,"317,233",1,View More details about JPMorgan Chase
12,Costco Wholesale,"$254,453",5%,"$7,367",17.10%,"$69,831","$419,626.8",-1,"333,000",-1,View More details about Costco Wholesale
13,Cigna Group,"$247,121",26.60%,"$3,434",-33.50%,"$155,881","$89,194.6",3,"72,398",3,View More details about Cigna Group
14,Microsoft,"$245,122",15.70%,"$88,136",21.80%,"$512,163","$2,790,642.6",-1,"228,000",-1,View More details about Microsoft
15,Cardinal Health,"$226,827",10.60%,$852,226.40%,"$45,121","$33,280.8",-1,"48,411",-1,View More details about Cardinal Health
16,Chevron,"$202,792",0.90%,"$17,661",-17.40%,"$256,938","$292,710",-1,"45,298",-1,View More details about Chevron
17,Bank of America,"$192,434",11.90%,"$27,132",2.30%,"$3,261,519","$317,264.8",1,"213,193",1,View More details about Bank of America
18,General Motors,"$187,442",9.10%,"$6,008",-40.70%,"$279,761","$46,794.9",1,"162,000",1,View More details about General Motors
19,Ford Motor,"$184,992",5%,"$5,879",35.20%,"$285,196","$39,884.8",-2,"171,000",-2,View More details about Ford Motor
20,Elevance Health,"$177,011",3.30%,"$5,980",-0.10%,"$116,889","$98,469.3",-,"103,679",-,View More details about Elevance Health
21,Citigroup,"$170,757",8.90%,"$12,682",37.40%,"$2,352,945","$133,614.5",-,"227,855",-,View More details about Citigroup
22,Meta Platforms,"$164,501",21.90%,"$62,360",59.50%,"$276,054","$1,460,299.9",8,"74,067",8,View More details about Meta Platforms
23,Centene,"$163,071",5.90%,"$3,305",22.30%,"$82,445","$30,115.8",-1,"60,500",-1,View More details about Centene
24,Home Depot,"$159,514",4.50%,"$14,806",-2.20%,"$96,119","$364,302.8",-1,"470,100",-1,View More details about Home Depot
25,Fannie Mae,"$152,670",8.10%,"$16,978",-2.50%,"$4,349,731","$7,319.1",2,"8,200",2,View More details about Fannie Mae
26,Walgreens Boots Alliance,"$147,658",6.20%,"$-8,636",,"$81,037","$9,659.1",2,"252,500",2,View More details about Walgreens Boots Alliance
27,Kroger,"$147,123",-1.90%,"$2,665",23.20%,"$52,616","$44,540",-2,"409,000",-2,View More details about Kroger
28,Phillips 66,"$145,496",-2.90%,"$2,117",-69.80%,"$72,582","$50,342.6",-2,"13,200",-2,View More details about Phillips 66
29,Marathon Petroleum,"$140,412",-6.60%,"$3,445",-64.40%,"$78,858","$45,387",-5,"18,300",-5,View More details about Marathon Petroleum
30,Verizon Communications,"$134,788",0.60%,"$17,506",50.70%,"$384,711","$190,952.2",1,"99,600",1,View More details about Verizon Communications
31,Nvidia,"$130,497",114.20%,"$72,880",144.90%,"$111,601","$2,644,472",34,"36,000",34,View More details about Nvidia
